Date,Cured,Deaths,Confirmed,Active
30-01-2020,0,0,1,1
31-01-2020,0,0,1,1
01-02-2020,0,0,2,2
02-02-2020,0,0,3,3
03-02-2020,0,0,3,3
04-02-2020,0,0,3,3
05-02-2020,0,0,3,3
06-02-2020,0,0,3,3
07-02-2020,0,0,3,3
08-02-2020,0,0,3,3
09-02-2020,0,0,3,3
10-02-2020,0,0,3,3
11-02-2020,0,0,3,3
12-02-2020,0,0,3,3
13-02-2020,0,0,3,3
14-02-2020,0,0,3,3
15-02-2020,0,0,3,3
16-02-2020,0,0,3,3
17-02-2020,0,0,3,3
18-02-2020,0,0,3,3
19-02-2020,0,0,3,3
20-02-2020,0,0,3,3
21-02-2020,0,0,3,3
22-02-2020,0,0,3,3
23-02-2020,0,0,3,3
24-02-2020,0,0,3,3
25-02-2020,0,0,3,3
26-02-2020,0,0,3,3
27-02-2020,0,0,3,3
28-02-2020,0,0,3,3
29-02-2020,0,0,3,3
01-03-2020,0,0,3,3
02-03-2020,0,0,5,5
03-03-2020,3,0,6,3
04-03-2020,3,0,28,25
05-03-2020,3,0,30,27
06-03-2020,3,0,31,28
07-03-2020,3,0,34,31
08-03-2020,3,0,39,36
09-03-2020,3,0,46,43
10-03-2020,3,0,58,55
11-03-2020,3,0,60,57
12-03-2020,3,0,74,71
13-03-2020,3,1,81,77
14-03-2020,10,2,84,72
15-03-2020,13,2,110,95
16-03-2020,13,2,114,99
17-03-2020,14,3,137,120
18-03-2020,14,3,151,134
19-03-2020,20,4,173,149
20-03-2020,23,4,223,196
21-03-2020,23,4,283,256
22-03-2020,24,7,360,329
23-03-2020,24,7,433,402
24-03-2020,40,9,519,470
25-03-2020,43,10,606,553
26-03-2020,45,15,694,634
27-03-2020,67,17,724,640
28-03-2020,80,19,909,810
29-03-2020,96,27,1024,901
30-03-2020,102,31,1251,1118
31-03-2020,124,35,1397,1238
01-04-2020,144,41,1834,1649
02-04-2020,156,53,2069,1860
03-04-2020,163,62,2547,2322
04-04-2020,213,75,3072,2784
05-04-2020,275,83,3577,3219
06-04-2020,319,111,4281,3851
07-04-2020,353,124,4789,4312
08-04-2020,411,149,5274,4714
09-04-2020,478,169,5865,5218
10-04-2020,516,206,6761,6039
11-04-2020,653,242,7529,6634
12-04-2020,765,273,8447,7409
13-04-2020,980,324,9352,8048
14-04-2020,1190,353,10815,9272
15-04-2020,1344,392,11933,10197
16-04-2020,1515,420,12759,10824
17-04-2020,1767,452,13835,11616
18-04-2020,2015,488,14792,12289
19-04-2020,2302,519,16116,13295
20-04-2020,2842,559,17656,14255
21-04-2020,3260,603,18985,15122
22-04-2020,3960,652,20471,15859
23-04-2020,4325,686,21700,16689
24-04-2020,4814,723,23452,17915
25-04-2020,5210,779,24893,18904
26-04-2020,5914,826,26605,19865
27-04-2020,6362,886,28160,20912
28-04-2020,7027,937,29834,21870
29-04-2020,7797,1008,31709,22904
30-04-2020,8373,1075,33330,23882
01-05-2020,9065,1152,34972,24755
02-05-2020,9951,1218,37157,25988
03-05-2020,10887,1306,40124,27931
04-05-2020,11762,1389,42836,29685
05-05-2020,13161,1583,46711,31967
06-05-2020,14183,1694,49391,33514
07-05-2020,15267,1783,52952,35902
08-05-2020,16540,1886,56342,37916
09-05-2020,17847,1981,59662,39834
10-05-2020,19358,2109,62939,41472
11-05-2020,20917,2206,67152,44029
12-05-2020,22455,2293,70756,46008
13-05-2020,24386,2415,74281,47480
14-05-2020,26235,2549,78003,49219
15-05-2020,27920,2649,81970,51401
16-05-2020,30153,2752,85710,52805
17-05-2020,34109,2872,90637,53656
18-05-2020,36824,3029,95759,55906
19-05-2020,39174,3163,100325,57988
20-05-2020,42298,3303,106750,61149
21-05-2020,45300,3435,112359,63624
22-05-2020,48534,3583,118447,66330
23-05-2020,51784,3720,125101,69597
24-05-2020,54441,3867,131868,73560
25-05-2020,57721,4021,138845,77103
26-05-2020,60491,4167,145380,80722
27-05-2020,64426,4337,151767,83004
28-05-2020,67692,4531,158333,86110
