Date,Cured,Deaths,Confirmed Cases
30-01-2020,0,0,1
31-01-2020,0,0,1
1/2/2020,0,0,2
2/2/2020,0,0,3
3/2/2020,0,0,3
4/2/2020,0,0,3
5/2/2020,0,0,3
6/2/2020,0,0,3
7/2/2020,0,0,3
8/2/2020,0,0,3
9/2/2020,0,0,3
10/2/2020,0,0,3
11/2/2020,0,0,3
12/2/2020,0,0,3
13-02-2020,0,0,3
14-02-2020,0,0,3
15-02-2020,0,0,3
16-02-2020,0,0,3
17-02-2020,0,0,3
18-02-2020,0,0,3
19-02-2020,0,0,3
20-02-2020,0,0,3
21-02-2020,0,0,3
22-02-2020,0,0,3
23-02-2020,0,0,3
24-02-2020,0,0,3
25-02-2020,0,0,3
26-02-2020,0,0,3
27-02-2020,0,0,3
28-02-2020,0,0,3
29-02-2020,0,0,3
1/3/2020,0,0,3
2/3/2020,0,0,5
3/3/2020,3,0,6
4/3/2020,3,0,28
5/3/2020,3,0,30
6/3/2020,3,0,31
7/3/2020,3,0,34
8/3/2020,3,0,39
9/3/2020,3,0,46
10/3/2020,3,0,58
11/3/2020,3,0,60
12/3/2020,3,0,74
13-03-2020,3,1,81
14-03-2020,10,2,84
15-03-2020,13,2,110
16-03-2020,13,2,114
17-03-2020,14,3,137
18-03-2020,14,3,151
19-03-2020,20,4,173
20-03-2020,23,4,223
21-03-2020,23,4,283
22-03-2020,24,7,360
23-03-2020,24,7,433
24-03-2020,40,9,519
25-03-2020,43,10,606
26-03-2020,45,15,694
27-03-2020,67,17,724
28-03-2020,80,19,909
29-03-2020,96,27,1024
30-03-2020,102,31,1251
31-03-2020,124,35,1397
1/4/2020,144,41,1834
2/4/2020,156,53,2069
3/4/2020,163,62,2547
4/4/2020,213,75,3072
5/4/2020,275,83,3577
6/4/2020,319,111,4281
7/4/2020,353,124,4789
8/4/2020,411,149,5274
9/4/2020,478,169,5865
10/4/2020,516,206,6761
11/4/2020,653,242,7529
12/4/2020,765,273,8447
13-04-2020,980,324,9352
14-04-2020,1190,353,10815
15-04-2020,1344,392,11933
16-04-2020,1515,420,12759
17-04-2020,1767,452,13835
18-04-2020,2015,488,14792
19-04-2020,2302,519,16116
20-04-2020,2842,559,17656
21-04-2020,3260,603,18985
22-04-2020,3960,652,20471
23-04-2020,4325,686,21700
24-04-2020,4814,723,23452
25-04-2020,5210,779,24893
26-04-2020,5914,826,26605
27-04-2020,6362,886,28160
28-04-2020,7027,937,29834
29-04-2020,7797,1008,31709
30-04-2020,8373,1075,33330
1/5/2020,9065,1152,34972
2/5/2020,9951,1218,37157
3/5/2020,10887,1306,40124
4/5/2020,11762,1389,42836
5/5/2020,13161,1583,46711
6/5/2020,14183,1694,49391
7/5/2020,15267,1783,52952
8/5/2020,16540,1886,56342
9/5/2020,17847,1981,59662
10/5/2020,19358,2109,62939
11/5/2020,20917,2206,67152
12/5/2020,22455,2293,70756
13-05-2020,24386,2415,74281
14-05-2020,26235,2549,78003
15-05-2020,27920,2649,81970
16-05-2020,30153,2752,85710
17-05-2020,34109,2872,90637
18-05-2020,36824,3029,95759
19-05-2020,39174,3163,100325
20-05-2020,42298,3303,106750
