state,Cured,Deaths,Confirmed,Active
Andaman and Nicobar Islands,243399.0,3820.0,287887.0,40668.0
Andhra Pradesh,40409530.0,420087.0,48200952.0,7371335.0
Arunachal Pradesh,463296.0,1238.0,637050.0,172516.0
Assam,10149044.0,44342.0,12661117.0,2467731.0
Bihar,12246639.0,70787.0,14139595.0,1822169.0
Cases being reassigned to states,0.0,0.0,345565.0,345565.0
Chandigarh,555075.0,9796.0,711347.0,146476.0
Chhattisgarh,4856690.0,59051.0,6790022.0,1874281.0
Dadar Nagar Haveli,14.0,0.0,186.0,172.0
Dadra and Nagar Haveli and Daman and Diu,212004.0,210.0,242811.0,30597.0
Daman & Diu,0.0,0.0,2.0,2.0
Delhi,21499809.0,590548.0,25301742.0,3211385.0
Goa,1831598.0,26885.0,2265168.0,406685.0
Gujarat,10033980.0,409257.0,12505593.0,2062356.0
Haryana,7815830.0,103625.0,9269153.0,1349698.0
Himachal Pradesh,733347.0,11008.0,982711.0,238356.0
Jammu and Kashmir,4073121.0,89189.0,5417186.0,1254876.0
Jharkhand,4278351.0,47725.0,5346147.0,1020071.0
Karnataka,32201170.0,649096.0,42342521.0,9492255.0
Kerala,9290177.0,49465.0,13533997.0,4194355.0
Ladakh,264244.0,3619.0,357010.0,89147.0
Madhya Pradesh,7540550.0,204437.0,9408126.0,1663139.0
Maharashtra,78224180.0,3138377.0,105538919.0,24176362.0
Manipur,601176.0,4634.0,833255.0,227445.0
Meghalaya,241289.0,3011.0,384180.0,139880.0
Mizoram,99350.0,0.0,137892.0,38542.0
Nagaland,342172.0,1239.0,480615.0,137204.0
Odisha,11773279.0,61090.0,14164794.0,2330425.0
Puducherry,1357164.0,31549.0,1776066.0,387353.0
Punjab,5818973.0,213364.0,7305871.0,1273534.0
Rajasthan,8862286.0,139444.0,10867315.0,1865585.0
Sikkim,155187.0,2066.0,204479.0,47226.0
Tamil Nadu,42796330.0,797359.0,50167412.0,6573723.0
Telangana,681436.0,13342.0,1077182.0,382404.0
Telangana***,40334.0,455.0,52466.0,11677.0
Telengana,11315346.0,88665.0,13781886.0,2377875.0
Telengana***,42909.0,480.0,57142.0,13753.0
Tripura,1287851.0,16686.0,1709637.0,405100.0
Unassigned,0.0,0.0,161.0,161.0
Uttar Pradesh,22563041.0,436558.0,28088092.0,5088493.0
Uttarakhand,2389377.0,41841.0,3092164.0,660946.0
West Bengal,16185659.0,403351.0,19567105.0,2978095.0
