,state,Cured,Deaths,Confirmed,Active
7751,Andaman and Nicobar Islands,3997.0,58.0,4253.0,198.0
7752,Andhra Pradesh,773548.0,6606.0,808924.0,28770.0
7753,Arunachal Pradesh,12182.0,35.0,14391.0,2174.0
7754,Assam,188587.0,908.0,204386.0,14891.0
7755,Bihar,201942.0,1058.0,212355.0,9355.0
7756,Chandigarh,13230.0,222.0,14085.0,633.0
7757,Chhattisgarh,153654.0,1861.0,177608.0,22093.0
7758,Dadra and Nagar Haveli and Daman and Diu,3176.0,2.0,3228.0,50.0
7759,Delhi,327390.0,6312.0,359488.0,25786.0
7760,Goa,39433.0,582.0,42532.0,2517.0
7761,Gujarat,150513.0,3690.0,167919.0,13716.0
7762,Haryana,147566.0,1737.0,159457.0,10154.0
7763,Himachal Pradesh,17782.0,293.0,20586.0,2511.0
7764,Jammu and Kashmir,83485.0,1444.0,92225.0,7296.0
7765,Jharkhand,93368.0,872.0,99906.0,5666.0
7766,Karnataka,719558.0,10947.0,805947.0,75442.0
7767,Kerala,302017.0,1352.0,397217.0,93848.0
7768,Ladakh,5216.0,71.0,5978.0,691.0
7769,Madhya Pradesh,154222.0,2890.0,167969.0,10857.0
7770,Maharashtra,1470660.0,43348.0,1648665.0,134657.0
7771,Manipur,13057.0,144.0,17424.0,4223.0
7772,Meghalaya,7471.0,81.0,9066.0,1514.0
7773,Mizoram,2212.0,0.0,2527.0,315.0
7774,Nagaland,6792.0,33.0,8663.0,1838.0
7775,Odisha,266105.0,1259.0,282695.0,15331.0
7776,Puducherry,29990.0,588.0,34336.0,3758.0
7777,Punjab,123047.0,4125.0,131391.0,4219.0
7778,Rajasthan,169962.0,1853.0,188048.0,16233.0
7779,Sikkim,3530.0,65.0,3840.0,245.0
7780,Tamil Nadu,671489.0,10956.0,711713.0,29268.0
7781,Telengana,213466.0,1315.0,232671.0,17890.0
7782,Tripura,28153.0,344.0,30293.0,1796.0
7783,Uttarakhand,55663.0,1001.0,60744.0,4080.0
7784,Uttar Pradesh,438521.0,6904.0,472077.0,26652.0
7785,West Bengal,310086.0,6546.0,353822.0,37190.0
